key,title,year,journal,issn,url,location,Discipline (primary),Discipline (secondary),Study scale / case geography,Study time window,Social media platform(s),Geographic origin of posts/images (country/region),Data collection mode,Sampling/subsampling strategy,Dataset size (images),"Other dataset size (e.g., posts/users)",Metadata used?,Metadata types used,Is text used for interpretation?,Analysis method (primary),Analysis method (secondary),DS Methods,Computer vision task(s),Validation / reliability,Key findings (1–3 bullet points),Bias/limitations discussed?,Bias/limitation types,Ethics approval mentioned?,Privacy & de-identification measures,Are example images displayed?,Scholar affiliation continent(s),Cross-continent collaboration?,Continent2,Continent3,Cross-country,Limitations (authors' statements),Notes,Conclusion,Reviewer,QC Flags
rayyan-340815754,“Visual Affluence” in Social Photography: Applicability of Image Segmentation as a Visually Oriented Approach to Study Instagram Hashtags,2020,Social Media and Society,20563051 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087082553&doi=10.1177%2F2056305120924758&partnerID=40&md5=81a9d2a0241c7cfe0222c9ce6e85af7a,"[""University of Strathclyde, Glasgow, United Kingdom"", ""Middlesex University, London, United Kingdom""]",Communication,Information Management,Global,2019,Instagram,Global,Automated via API,,"1k–9,999",,Yes,Hashtags,No text used,Image Type Identification,Trends of images,Off-the-shelf model,Scene classification,Against gold standard,"• Image segmentation can be used as a meaning-independent measure of visual richness in social media images.
• Images with complex textures and detailed backgrounds show higher visual affluence than images with blur or flat backgrounds.
• Different Instagram hashtags exhibit statistically significant differences in visual affluence.",Yes,Platform bias,Not applicable,No example images shown,Yes,Europe,No,,,,"• Limited sample size and non-normal distributions across hashtag datasets
• Dependence on threshold values for image segmentation
• Data collected before Instagram API access restrictions","Methodological contribution introducing “visual affluence” as a scalable, non-semantic visual metric; emphasizes visually oriented analysis over meaning-based interpretation.",Include,Abi,
rayyan-340814277,3D visibility analysis for evaluating the attractiveness of tourism routes computed from social media photos,2021,ISPRS International Journal of Geo-Information,22209964 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106503928&doi=10.3390%2Fijgi10050275&partnerID=40&md5=aa5756635b221448044d66100a54ec0a,"[""Technion - Israel Institute of Technology, Mapping and Geo-Information Engineering, Haifa, Israel"", ""Technion - Israel Institute of Technology, Faculty of Architecture and Town Planning, Haifa, Israel""]",Tourism,,North America,2010-2016,Flickr,USA,Automated via API,,"100k–999,999","358,691 photos 22,665 users",Yes,Geotags,No text used,Geospatial Analysis,,Custom model,Other,Manual verification,compute and evaluate tourism walking routes,No,Other,No,No example images shown,No,Asia,No,,,,No,"Spatial (3D visibility) analysis of geotagged photos, only metadata used",Include,Lu,
rayyan-340807164,A complex network analysis of urban human mobility in Tokyo,2025,Travel Behaviour and Society,2214367X (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000656491&doi=10.1016%2Fj.tbs.2025.101020&partnerID=40&md5=5e7710336cd3bc041e1f4af49776f2d1,"Institute of Science Tokyo, School of Environment and Society, Tokyo, Japan",Tourism,Interdisciplinary,Asia,2008-2019,Flickr,Japan,Automated via API,,"100k–999,999","150,688 photos 30,063 users",Yes,Geotags,No text used,Geospatial Analysis,,Off-the-shelf model,Other,Against gold standard,,No,Platform bias,No,No example images shown,No,Asia,No,,,,Geographical specificity further limits generalizability.,"Multi-step framework designed for empirical analysis, only metadata used",Include,Lu,
rayyan-340806986,A cross-cultural study of the dynamic multimodal metadiscourse used by American and Chinese NEV corporates on X,2025,Journal of Pragmatics,03782166 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010260370&doi=10.1016%2Fj.pragma.2025.06.011&partnerID=40&md5=e0821992ae6f6bc3c9d9a36d49c17648,"University of International Business and Economics, School of International Studies, Beijing, China",Business,,Global,2023-2024,Facebook,Global,Manual,,100–999,373 photos 194 videos,Yes,Comments,Full post text,Emotion Coding,,Custom model,Face/Emotion,Not reported,,Yes,Platform bias,No,Not mentioned,Yes,Asia,No,,,,Language and platform (BYD in Weibo),,Include,Lu,
rayyan-340810973,"A crowdsource approach to documenting users' preferences for landscape attributes in the proposed Appalachian Geopark Project in West Virginia, United States",2023,International Journal of Geoheritage and Parks,25774441 (ISSN); 2577445X (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159357025&doi=10.1016%2Fj.ijgeop.2023.05.001&partnerID=40&md5=ca732770f8572931776d9eed0b2b2378,"[""West Virginia University, Natural Resources and Design, Morgantown, United States"", ""West Virginia University, Natural Resources and Design, Morgantown, United States"", ""Universidade Estadual de Ponta Grossa, Tourism Department, Ponta Grossa, Brazil"", ""West Virginia University, Division of Forestry and Natural Resources, Morgantown, United States""]",Environment & Landscape,Tourism,North America,2010-2020,Flickr,USA,Mixed,,"1k–9,999","2,945 photos",Yes,Geotags,No text used,Geospatial Analysis,,Fine-tuned model,Object detection,Against gold standard,"results, maps and charts are used in in the development of the final landscape character assessment for the proposed geopark region",Yes,Platform bias,No,Not mentioned,Yes,Multiple,Yes,North America,Latin America,,demographic information not collected,US and Brazil,Include,Lu,
rayyan-340814131,A machine learning approach to cluster destination image on Instagram,2021,Tourism Management,18793193 (ISSN); 02615177 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102648080&doi=10.1016%2Fj.tourman.2021.104318&partnerID=40&md5=cab0f0f1ec8e2c972ec23dd372c090db,"[""Johannes Kepler University Linz, Business Informatics and Data Science, Linz, Austria"", ""Fachhochschule Salzburg, Department of Innovation and Management in Tourism, Salzburg, Austria""]",Tourism,Business,Europe,2019,Instagram,Austria,Automated via API,,"100k–999,999","101,870 photos",Yes,URLs,No text used,Object Recognition,,Off-the-shelf model,Object detection,Not reported,"connects semiotics, marketing, and data science in the tourism context.
brings the knowledge from geocoding to the tourism context and highlights the importance of location-based images.
provides numerous implications for DMOs.",Yes,Other,No,Not mentioned,No,Europe,No,,,,"limited to Austria,
keep track of tourist movement over time,
each model has its own way of interpretation, the comparison between the clustering results might be far-fetched",,Include,Lu,
rayyan-340814419,Advancing sustainable development and protected area management with social media‐based tourism data,2021,Sustainability (Switzerland),20711050 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102537628&doi=10.3390%2Fsu13052427&partnerID=40&md5=e9ae40f759bd42960369133d3137132b,"[""Stanford Woods Institute for the Environment, Stanford, United States"", ""University of Washington, School of Environmental and Forest Sciences, Seattle, United States"", ""Puget Sound Partnership, Olympia, United States"", ""University of Washington, Nature and Health, Seattle, United States"", ""Stanford University, Center for Ocean Solutions, Stanford, United States""]",Tourism,Environment & Landscape,North America,2005-2014,Flickr,USA,Automated via API,,≥1M,,Yes,Geotags,No text used,Geospatial Analysis,,Custom model,Other,Not reported,,Yes,Geographic noise/mis-geotagging,Yes (IRB/REC),No example images shown,No,North America,No,,,,No,"Only Metadata used, sustainability",Maybe,Lu,
rayyan-340815706,Affective economy of national-populist images: Investigating national and transnational online networks through visual big data,2020,New Media and Society,14617315 (ISSN); 14614448 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071555599&doi=10.1177%2F1461444819868686&partnerID=40&md5=328fe033226642cdb229f5ed85117e78,"[""Tampere University, Tampere, Finland"", ""Helsingin Yliopisto, Helsinki, Finland""]",Psychology,Interdisciplinary,Europe,2009-2017,Facebook,Finland,Automated via API,,"1k–9,999",7607 images,Yes,Multiple,No text used,Comparing Images,Network Analysis,Off-the-shelf model,Scene classification,Not reported,"hrough image sharing, commenting and reacting, supporters are able to create and sustain connections with each other, to feel united and express their political identity, political emotions and belonging.",Yes,Other,Yes,No example images shown,No,Europe,No,,,,researchers should seek possibilities to investigate the historical paths and directions of image circulation,,Include,Lu,
rayyan-340815047,An expert with whom i can identify: the role of narratives in influencer marketing,2021,International Journal of Advertising,17593948 (ISSN); 02650487 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092937576&doi=10.1080%2F02650487.2020.1824751&partnerID=40&md5=2f6966e9bab26b895d5d7ac93f1fc170,"[""San Diego State University, College of Professional Studies and Fine Arts, San Diego, United States"", ""University of Florida, Department of Advertising in the College of Journalism and Communications, Gainesville, United States"", ""Communication University of China, School of International Studies, Beijing, China""]",Business,,Global,Not mentioned,Instagram,Global,Automated via API,,"1k–9,999",7745 posts,Yes,Multiple,Title only,Thematic Coding,,Off-the-shelf model,Scene classification,Inter-coder reliability,"all of these three post types contain a selfie,
expertise þ selfie and expertise þ friends posts received the largest number of “likes”,
expertise þ selfie and video þ selfie posts are most likely to be sponsored by brands.",Yes,Unrepresentative populations,No,No example images shown,No,Not mentioned,No,,,,"did not provide causal evidence for the effect of influencer-follower transportation on consumer attitudes,
without investigating their intentions and strategic considerations.",,Include,Lu,Study time window not in YYYY or YYYY-YYYY (manual check)
rayyan-340812364,Analysis of the Use of Color and Its Emotional Relationship in Visual Creations Based on Experiences during the Context of the COVID-19 Pandemic,2022,Sustainability (Switzerland),20711050 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140931482&doi=10.3390%2Fsu142012989&partnerID=40&md5=9bcd4b8da5eb194e7fa893de1a841557,"[""Universidad de Córdoba, Faculty of Education, Cordoba, Spain"", ""Universidad Adolfo Ibáñez, Facultad de Ingeniería y Ciencias, Santiago, Chile""]",Psychology,Interdisciplinary,Not mentioned,2021,Multiple,"Not mentioned, multiple",Automated via API,,"1k–9,999",1537 pics,No,,No text used,Emotion Coding,,Fine-tuned model,Face/Emotion,Not reported,"there is a high prevalence of analogous and complementary harmonies.
Some relevant correlations have been found at the level of color and emotion.",No,,No,Not mentioned,Yes,Europe,No,,,,Not mentioned,"Instagram+WikiArt,",Include,Lu,
rayyan-340810322,Analyzing radical visuals at scale How far-right groups mobilize on TikTok,2024,Journal of Digital Social Research,20031998 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009915960&doi=10.33621%2Fjdsr.v6i1.200&partnerID=40&md5=556a593333fffa5c65f3f486169f7a96,"[""Ludwig-Maximilians-Universität München, Munich, Germany"", ""Universität Wien, Vienna, Austria""]",Politics,,Europe,Not mentioned,Tiktok,Germany,Mixed,,"1k–9,999","7,895 videos 350 acounts",No,,No text used,Image Type Identification,,Off-the-shelf model,Scene classification,Inter-coder reliability,"the Conspiracists more intensely focus on fear speech and anti-elitism
the Conspiracists are most popular on TikTok
Nationalist are far more successful in total popularity and mobilization potential than the more diverse but also more extreme accounts in the Extreme Right",Yes,Unrepresentative populations，Model bias,No,Not mentioned,No,Not mentioned,No,,,,"extracting frames and retrieving image labels does not fully cover the content of each video,
the classification algorithm does not extract meaning from the videos,
did not compare far-right popularity with other ideological groups,
only collected and analyzed a small margin",,Include,Lu,Study time window not in YYYY or YYYY-YYYY (manual check)
rayyan-340812637,Assessing landscape features and ecosystem services of marine protected areas through photographs on social media: comparison of two archipelagos in Spain,2022,"Environment, Development and Sustainability",15732975 (ISSN); 1387585X (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116148981&doi=10.1007%2Fs10668-021-01841-y&partnerID=40&md5=5dd5f6c790ec3b2aebdcaed7d634c745,"[""Management Development Institute of Singapore in Tashkent, Tashkent, Uzbekistan"", ""Universidad de Sevilla, Sevilla, Spain"", ""CSIC - Instituto de Ciencias del Mar (ICM), Barcelona, Spain"", ""CSIC-UIB - Instituto Mediterraneo de Estudios Avanzados (IMEDEA), Esporlas, Spain"", ""Universidade de Santiago de Compostela, Santiago de Compostela, Spain""]",Environment & Landscape,,"North America, Europe",2017-2018,Flickr,North America， Europe,Automated via API,,"1k–9,999","1,041 pics",Yes,Hashtags,No text used,Network Analysis,,Off-the-shelf model,Other,Inter-coder reliability,"assess the characteristics of the landscape and the cultural ecosystem services obtained from Marine Protected Areas
the existence of a geographical area in which cultural-recreational uses predominate",Yes,Unrepresentative populations,No,No example images shown,No,Europe,No,,,,"some of the ecosystem services remain off the radar, because they are less frequent",,Include,Lu,
rayyan-340807343,Assessing recreationists’ preferences of the landscape and species using crowdsourced images and machine learning,2025,Landscape and Urban Planning,01692046 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217109121&doi=10.1016%2Fj.landurbplan.2025.105315&partnerID=40&md5=a00a84b36da2395fc34e276f649601b3,"[""Université Clermont Auvergne, Clermont-Ferrand, France"", ""Gottfried Wilhelm Leibniz Universität Hannover, Institute of Environmental Planning, Hannover, Germany"", ""Trondheim hovedkontor, Trondheim, Norway"", ""Université Clermont Auvergne, Clermont-Ferrand, France"", ""University of Michigan, Ann Arbor, School for Environment and Sustainability, Ann Arbor, United States"", ""University of Michigan, Ann Arbor, Ann Arbor, United States""]",Interdisciplinary,,Europe,2017-2020,Multiple,Europe,Automated via API,,Not reported,8357 pics,,,No text used,Object Recognition,,Off-the-shelf model,Object detection,Manual verification,"rarer and less accessible land covers are over-associated with recreationists' photographs;
recreationists seek wide open views when interacting with mountain landscapes;",Yes,Platform bias,No,Not mentioned,Yes,Europe,No,,,Cross-platform,Flickr and Wikiloc are only a limited sample of the population,Flickr and Wikiloc,Include,Lu,
rayyan-340811708,Attraction behind “Beauty”: Revealing Gay Men’s Self-Presentation on a Dating App with Computer Vision,2023,Computational Communication Research,26659085 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159571028&doi=10.5117%2FCCR2023.1.002.JIAM&partnerID=40&md5=50e940a3ccca32a64e8544efe577df68,"[""City University of Hong Kong, Hong Kong, Hong Kong"", ""Beijing Normal University, School of Journalism and Communication, Beijing, China""]",Communication,Psychology,Asia,2021,Other,China,Not mentioned,,"10k–99,999","10,334 profiles",Yes,Likes,Other,Object Recognition,Emotion Coding,Fine-tuned model,"Object detection, Face/Emotion",Inter-coder reliability,"there is indeed a consistent relationship between physical attractiveness and the expected self-presentation effects,
discovered an ambiance effect of gay men’s online self-presentation,",Yes,Platform bias,Yes,Not mentioned,No,Not mentioned,No,,,,"automated content analysis tools do not perform well when judging subjective metrics,
the lack of relevant tools makes it difficult to analyze the content of photos specifically, which prevents the visual cues in this study from being broken down further",Finka,Include,Lu,
rayyan-340812841,Automatic Classification of Photos by Tourist Attractions Using Deep Learning Model and Image Feature Vector Clustering,2022,ISPRS International Journal of Geo-Information,22209964 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129010098&doi=10.3390%2Fijgi11040245&partnerID=40&md5=3a5809a5005e10d3b908d7d8c55d5860,"Ewha Womans University, Department of Social Studies Education, Seoul, South Korea",Tourism,,Europe,2020,Other,Korea,Automated via API,,"10k–99,999",11883 pics,No,,No text used,Object Recognition,,Off-the-shelf model,Object detection,Not reported,identify which images of Insadong are preferred by foreign tourists,Yes,Platform bias,No,Not mentioned,Yes,Asia,No,,,,"there may be a limit to the amount of data that can be used,
it is necessary to compare the photos posted on TripAdvisor with those from other SNS sites",TripAdvisor,Include,Lu,
rayyan-340809413,Automation of visual communication and aesthetic construction of national image: A computational aesthetic analysis of social bots on Twitter,2024,Online Media and Global Communication,27499049 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005321691&doi=10.1515%2Fomgc-2024-0010&partnerID=40&md5=935229e2c3252774339a8f3c6b696f27,"Tsinghua University, School of Journalism and Communication, Beijing, China",Art,Communication,Asia,2021,Twitter,Not mentioned,Automated via API,,"100k–999,999","106,562 pics",Yes,Multiple,No text used,Colour Recognition,,Off-the-shelf model,Other,Not reported,"social bots exhibit unique aesthetic strategies on Chinese issues on the international social platform,
such aesthetic strategies of bot accounts have been proven to have a positive social media effect",Yes,Model bias,No,Not mentioned,No,Asia,No,,,,"the measurement of aesthetic features in this study is carried out by computer vision technology, which obscures the subjective dimension of aesthetics,
our study mainly takes the data of likes and retweets into account, and experimental design could be considered for future exploration, 
the material in this study is static pictures on social platforms, and researchers can direct the focus onto dynamic visual materials like videos by social bots.","Likes, reposts",Include,Lu,
rayyan-340811860,Behind Blue Skies: A Multimodal Automated Content Analysis of Islamic Extremist Propaganda on Instagram,2023,Social Media and Society,20563051 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146767215&doi=10.1177%2F20563051221150404&partnerID=40&md5=6bacc60b9a247d2aa2bb15bbb1831e50,"[""University of Münster, Munster, Germany"", ""Universität Hamburg, Hamburg, Germany"", ""Fachhochschule Münster, Munster, Germany""]",Sociology & Cultural Studies,,Europe,2016-2018,Instagram,Germany,Automated via API,,"1k–9,999","1,187 posts",Yes,Hashtags,Title only,Emotion Coding,,Off-the-shelf model,Face/Emotion,Against gold standard,"hashtags were used to create affective communities around religious identities and local communities,
the images were mostly negative, capturing users’ attention, and likely to elicit emotions associated with collective action, such as anger",Yes,Platform bias,No,Not mentioned,Yes,Europe,No,,,,"focused on only one German language account on Instagram,
we focused only on Islamic extremism",,Include,Lu,
rayyan-340812276,Biased Bytes: On the Validity of Estimating Food Consumption from Digital Traces,2022,Proceedings of the ACM on Human-Computer Interaction,25730142 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146425886&doi=10.1145%2F3555660&partnerID=40&md5=784920a59f1805d156753866b12cf19f,"[""École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland"", ""University of Niš, Nis, Serbia""]",Health,Information Management,Europe,2017-2020,Multiple,Switzerland,Mixed,,"10k–99,999","27,812 pics",No,,Full post text,Object Recognition,,Off-the-shelf model,Object detection,Against gold standard,there is a divergence between food consumption as measured via food tracking and as measured via social media,Yes,Unrepresentative populations,No,Not mentioned,Yes,Europe,No,,,Cross-platform,"many foods that the Swiss consume are not posted on Twitter,
platforms' support of improving image quality and editing with filters contribute to the food image being more visually appealing and appearing tastier","Twitter 3,692, MyFoodRepo 24,120",Include,Lu,
rayyan-340814204,Bridging the computational and visual turn: Re-tooling visual studies with image recognition and network analysis to study online climate images,2021,Nordic Journal of Media Studies,2003184X (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141484125&doi=10.2478%2Fnjms-2021-0008&partnerID=40&md5=96951eb14517d6eca48665d7b84ce8e8,"[""Aalborg University, Department of Culture and Learning, Aalborg, Denmark"", ""Analyse Og Tal F.M.B.A, Denmark""]",Interdisciplinary,Tourism,Global,2015-2017,Multiple,,Automated via API,,"10k–99,999","60,942 pics",Yes,Multiple,No text used,Object Recognition,,Off-the-shelf model,Object detection,Against gold standard,"from 2015 to 2017, where diagrams are substituted with cartoons as the most-used type of visual genre.",Yes,Model bias,Yes,Other,Yes,Not mentioned,No,,,Cross-platform,examining the biases and built-in epistemologies of existing algorithms,"Instagram 14,375 Twitter 46,567; climate; only uses photos already made public by the users; hastags timestamp",Include,Lu,
rayyan-340814962,Building Brand Authenticity on Social Media: The Impact of Instagram Ad Model Genuineness and Trustworthiness on Perceived Brand Authenticity and Consumer Responses,2021,Journal of Interactive Advertising,15252019 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100964588&doi=10.1080%2F15252019.2020.1860168&partnerID=40&md5=0fba9627ce2e164b51fd4f93fa8027cc,"[""Loyola University Chicago, School of Communication, Chicago, United States"", ""Michigan State University, Department of Advertising and Public Relations, East Lansing, United States""]",Business,Communication,Not mentioned,2020,Instagram,,Automated via API,randomization function in Microsoft Excel,100–999,750 pics,No,,No text used,Emotion Coding,,Off-the-shelf model,Face/Emotion,Manual verification,consumers’ evaluations of a brand’s perceived authenticity on social media were impacted by their perception of the sources featured in the brand’s posts,Yes,Other,No,Not mentioned,No,Not mentioned,No,,,,"the study used only fashion brands, which limits generalizations to other industries and brands.
did not involve other important outcome variables.
limitations in controlling for certain confounding variables.",,Include,Lu,
rayyan-340814092,Can urban forest settings evoke positive emotion? Evidence on facial expressions and detection of driving factors,2021,Sustainability (Switzerland),20711050 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112468460&doi=10.3390%2Fsu13168687&partnerID=40&md5=81e5281b9e9d8a5acbfcae7a980b3c35,"[""Shenyang Agricultural University, College of Forestry, Shenyang, China"", ""Northeast Institute of Geography and Agroecology, Key Laboratory of Wetland Ecology and Environment, Changchun, China"", ""University of Chinese Academy of Sciences, Beijing, China""]",Environment & Landscape,Psychology,Asia,2018,Weibo,China,Not mentioned,,"1k–9,999","2,824 pics",No,,No text used,Emotion Coding,,Off-the-shelf model,Face/Emotion,Not reported,"Happiness was the only variable that was significantly different between forest and urban settings.
emales showed more positive and less negative emotional expressions than males.
age appeared to have a negative impact on positive expressions.",Yes,Unrepresentative populations,No,Not mentioned,No,Asia,No,,,,"the choice of urban settings can be more specific to eliminate possible impacts from inner-group difference.
data may have suffered strong variation due to the differences of the dimensions in our cities.
ur age range may have suffered from a great deal of uncertainty.",,Include,Lu,
rayyan-340815366,Coloring the destination: The role of color psychology on Instagram,2020,Tourism Management,18793193 (ISSN); 02615177 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082194638&doi=10.1016%2Fj.tourman.2020.104110&partnerID=40&md5=c4b169a1076bce88d1aa5e534adcea7c,"[""Fachhochschule Salzburg, Department of Innovation and Management in Tourism, Salzburg, Austria"", ""University of Leeds, Applied Translation Studies, Leeds, United Kingdom"", ""Edith Cowan University, School of Business and Law, Perth, Australia""]",Tourism,Psychology,Asia,2017-2019,Instagram,China,Automated via API,,"1k–9,999",3472 pics,Yes,Likes,No text used,Colour Recognition,,Off-the-shelf model,Other,Not reported,"that most photos in the study sample did not possess a high level of lightness.
the degree of saturation and brightness could each positively predict the number of “likes” and comments on gastronomy-related pictures.
blue and blue-violet contribute substantially to the number of “likes” on pictures related to art and culture.
the presence of orange-yellow can positively predict the number of “likes” on city view photos.",Yes,Unrepresentative populations,No,No example images shown,No,Not mentioned,No,,,,"the selected travel guide accounts did not have the same number of followers.
it is challenging to identify authentic and fake user accounts on Instagram. Users' “liking” and commenting behaviors also vary based on their personal habits",,Include,Lu,
rayyan-340808243,Communicating climate change to young adults in China: examining predictors of user engagement on Chinese social media,2025,International Journal of Climate Change Strategies and Management,17568692 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002258127&doi=10.1108%2FIJCCSM-09-2024-0151&partnerID=40&md5=bbeabdbe4faade952c195e6860d8cae0,"[""Tsinghua University, School of Journalism and Communication, Beijing, China"", ""College of Arts, Humanities and Social Sciences, Cardiff, United Kingdom""]",Communication,,Asia,2020-2023,Other,China,Automated via API,,100–999,305 videos,Yes,Multiple,No text used,Other,,Off-the-shelf model,Other,Inter-coder reliability,"ideo length positively correlated with coins and favorites.
the positive correlation between the number of scenes and engagement counters.
found a significant association between long shots and user engagement.
personification of extreme weather reduced engagement.
tone influenced behaviors like giving coins and bookmarking.
language intensity in titles and content positively impacted shares and comments.",Yes,Unrepresentative populations,No,No example images shown,No,Asia,No,,,,"should explore other NGO accounts and strategies to better engage young social media users in climate-related topics.
the limited sample size may affect the generalizability of the findings.
engagement metrics may differ significantly across platforms.","formal features such as title length, video length, shot sizes and number of scene",Include,Lu,
rayyan-340807879,Contemporary visualities of ill health: On the social (media) construction of disease regimes,2025,Sociology of Health and Illness,14679566 (ISSN); 01419889 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204474692&doi=10.1111%2F1467-9566.13846&partnerID=40&md5=a1a560860a6962f9e4fe757728c9a49e,"The University of Sheffield, Department of Sociological Studies, Sheffield, United Kingdom",Psychology,Health,Not mentioned,2022-2023,Multiple,,Automated via API,,100–999,360 pics,No,Not applicable,Full post text,Object Recognition,,Off-the-shelf model,Object detection,Manual verification,"the emergence of platform-specific visual vernaculars of ill health.
The prevailing dimension aligns with dominant interpretations of BRCA hereditary cancer syndromes as either a strictly scientific matter or something that concerns a woman’s body.",Yes,Platform bias,Yes,Convert to line-drawings,Yes,Europe,No,,,Cross-platform,"focussing on still images reduced methodological complexity.
excluded the analysis of other mainstream platforms.","Facebook, Instagram and Twitter",Include,Lu,
rayyan-340809081,"Convergence or divergence? A cross-platform analysis of climate change visual content categories, features, and social media engagement on Twitter and Instagram",2024,Public Relations Review,03638111 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188417534&doi=10.1016%2Fj.pubrev.2024.102454&partnerID=40&md5=399fbbaa10625fa88c1fc9cd68da0c71,"[""University of California, Davis, Davis, United States"", ""Northwestern University, Department of Communication Studies, Evanston, United States"", ""University of Georgia, Department of Financial Planning, Athens, United States"", ""University of Georgia, Athens, United States""]",Communication,,Global,2018-2022,Multiple,Global,Automated via API,,"1k–9,999",4517 pics,Yes,Likes,No text used,Colour Recognition,Emotion Coding,Off-the-shelf model,Face/Emotion,Inter-coder reliability,"Five categories were not equally represented on each platform.
Twitter and Instagram visual content differ in warm and cool colors, brightness and colorfulness, feature and compositional complexity, and face presence.",Yes,Other,No,Not mentioned,Yes,North America,No,,,Cross-platform,"This limited scope may not provide a comprehensive understanding of the overall patterns and trends in climate change communication across all social media platforms.
focused solely on climate change.
this study focused solely on visual content.",Instagram and Twitter,Include,Lu,
