key,title,year,journal,issn,url,location,Discipline (primary),Discipline (secondary),Study scale / case geography,Study time window,Social media platform(s),Geographic origin of posts/images (country/region),Data collection mode,Sampling/subsampling strategy,Dataset size (images),"Other dataset size (e.g., posts/users)",Metadata used?,Metadata types used,Is text used for interpretation?,Analysis method (primary),Analysis method (secondary),DS Methods,Computer vision task(s),Validation / reliability,Key findings (1–3 bullet points),Bias/limitations discussed?,Bias/limitation types,Ethics approval mentioned?,Privacy & de-identification measures,Are example images displayed?,Scholar affiliation continent(s),Cross-continent collaboration?,Continent2,Continent3,Cross-country,Limitations (authors' statements),Notes,Conclusion,Reviewer,QC Flags
rayyan-340811931,Cross-Platform Emotions and Audience Engagement in Social Media Political Campaigning: Comparing Candidates’ Facebook and Instagram Images in the 2020 US Election,2023,Political Communication,10917675 (ISSN); 10584609 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141072884&doi=10.1080%2F10584609.2022.2128949&partnerID=40&md5=5fcca03368bfd722b70ce37412d07b07,"[""Lunds Universitet, Department of Communication and Media, Lund, Sweden"", ""Syddansk Universitet, Digital Democracy Centre, Odense, Denmark""]",Communication,Politics,Not mentioned,Not mentioned,Multiple,,Automated via API,,"1k–9,999",8180 pics,No,,No text used,Emotion Coding,,Off-the-shelf model,Face/Emotion,Inter-coder reliability,"suggest more convergence than divergence in campaigns’ visual communication on social media.
warrant more attention to how audiences respond to politician’s facial expressions across platforms.",Yes,Platform bias,No,Not mentioned,No,Europe,No,,,Cross-platform,we acknowledge that our study is limited to the data-type we study,Instagram and Facebook,Include,Lu,Study time window not in YYYY or YYYY-YYYY (manual check)
rayyan-340808242,Customer Visual Perception of Indoor Environments: Computer Vision Analysis of Social Media Photos of Cafés in China,2025,Leisure Sciences,01490400 (ISSN); 15210588 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002267743&doi=10.1080%2F01490400.2022.2123873&partnerID=40&md5=e098faa56db9b7991834ae7a4d06ee8f,"[""Nanjing Normal University, School of Fine Arts, Nanjing, China"", ""Jiangsu Information Institute of Science and Technology, Nanjing, China"", ""Southeast University, Institute of Architectural Algorithms and Applications, Nanjing, China""]",Tourism,Business,Asia,,Multiple,China,Not mentioned,,"1k–9,999",2670 pics,No,,No text used,Narrative of images,Network Analysis,Off-the-shelf model,Scene classification,Manual verification,"in the indoor environment, visual attention is paid more to medium-scale scenes.
iconic items are easier to reflect and spread in photos than the overall atmosphere of the environment.
designers pay more attention to the unity of the overall style, while consumers’ visual experience conveyed in their photos is more fragmented.",Yes,Model bias,No,Not mentioned,Yes,Asia,No,,,,"This study applied the content analysis of photos by deep learning models, which have a “black box” controversial interpretability.",,Include,Lu,
rayyan-340815882,Determinants of Football Fans’ Happiness: Evidence from Facial Emotion Recognition,2020,Journal of Happiness Studies,13894978 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065197209&doi=10.1007%2Fs10902-019-00119-5&partnerID=40&md5=e932ca3f4f23e96571b41376318f71a6,"HSE University, International Laboratory of Intangible-driven Economy, Moscow, Russian Federation",Interdisciplinary,,Europe,2014-2017,Other,Russia,Not mentioned,,"10k–99,999","about 10,000 photos",No,,No text used,Emotion Coding,,Off-the-shelf model,,Not reported,"women tend to express more happiness and are more sensitive to events.
differences in fans’ happiness across teams or stadiums.
",Yes,Other,No,Not mentioned,No,Not mentioned,No,,,,"we may give less weight to more important and memorable moments.
without considering its different types and consequences.",VKontakte,Include,Lu,
rayyan-340808468,Digital witnesses to the crime: Visual representation of the Bucha massacre across social media platforms,2024,"Media, War and Conflict",17506360 (ISSN); 17506352 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190456977&doi=10.1177%2F17506352241243302&partnerID=40&md5=b35f3bde1c42cf5bac90b0af6a9dd2b4,,Politics,Communication,Europe,2022,Multiple,,Automated via API,,"1k–9,999",6185 pics,Yes,Likes,No text used,Thematic Coding,Network Analysis,Off-the-shelf model,Scene classification,Not reported,"each platform depicted a unique perspective of the event, despite frequent circulation of the very same photos.",Yes,Platform bias,No,Not mentioned,No,Europe,No,,,,"The first limitation stems from the platforms and search parameters chosen (language). 
the editorial policies of the platforms.",Facebook Instagram Twitter,Include,Lu,
rayyan-340807337,Everyone's Privacy Matters! An Analysis of Privacy Leakage from Real-World Facial Images on Twitter and Associated User Behaviors,2025,Proceedings of the ACM on Human-Computer Interaction,25730142 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004405754&doi=10.1145%2F3710967&partnerID=40&md5=3ab59eaa70e65f51adc5d5383cd63407,"[""Shanghai Jiao Tong University, Shanghai, China"", ""University of Kent, Canterbury, United Kingdom"", ""The University of Edinburgh, Edinburgh, United Kingdom"", ""Institute of Information Engineering, Beijing, China""]",Sociology & Cultural Studies,,Not mentioned,Not mentioned,Twitter,,Automated via API,,"10k–99,999",27800 pics,,,,Object Recognition,,Fine-tuned model,Face/Emotion,Inter-coder reliability,"After examining images containing at least one bystander, we discovered multiple subcategories of face privacy scenarios that have never been reported before.
Uploaders do not actively anonymize faces in images, especially when the faces belong to bystanders.
Account type and profile image type are related to uploaders’ non-anonymization behavior.
Inadequate anonymization of faces may lead to insufficient privacy protection.",Yes,"Platform bias, model bias",Yes,Not mentioned,Yes,Asia,No,,,,"Definition of Bystander.
Datasets.
Model Errors.",,Include,Lu,Study time window not in YYYY or YYYY-YYYY (manual check)
rayyan-340812977,How to “Read” a Destination from Images? Machine Learning and Network Methods for DMOs’ Image Projection and Photo Evaluation,2022,Journal of Travel Research,00472875 (ISSN); 15526763 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100971238&doi=10.1177%2F0047287521995134&partnerID=40&md5=9b3ae5a3c52548363847a0d0c23d697b,"[""University of Houston, Houston, United States"", ""Beijing International Studies University, School of Tourism Sciences, Beijing, China"", ""Research Center of Beijing Tourism Development, Beijing, China"", ""Temple University, Department of Tourism and Hospitality Management, Philadelphia, United States""]",Tourism,Communication,North America,2011-2019,Instagram,USA,Automated via API,,"10k–99,999",28106 photos,Yes,Likes,No text used,Narrative of images,Network Analysis,Off-the-shelf model,Object detection,Manual verification,"if an OGC photo posted on social media contains elements that sit in the “core” of tourists’ minds, it is likely to generate increased online engagement. 
the interrelationship between projected and received images and points to the significance of an audience-driven process and coherence among messages from different sources in communicating a destination’s brand image.
recognize tourists’ self-performance and impression management motivations when creating and sharing travel photos.",Yes,"Platform bias, model bias",No,Not mentioned,Yes,Asia,No,,,,"we focused on a single destination (Los Angeles) and only one social media channel.
the machine learning algorithm used in this study was not specifically designed for tourism and destination contexts. 
with limited access to metadata",adjective–noun pairs (ANPs),Include,Lu,
rayyan-340808267,Identification and Classification of Images in e-Cigarette-Related Content on TikTok: Unsupervised Machine Learning Image Clustering Approach,2025,Substance Use and Misuse,10826084 (ISSN); 15322491 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001799808&doi=10.1080%2F10826084.2024.2447415&partnerID=40&md5=ec5579ffb381b45e4d3bc7ac6219692f,"[""Yale School of Medicine, New Haven, United States"", ""The University of Texas at Austin, School of Journalism and Media, Austin, United States""]",Sociology & Cultural Studies,,Not mentioned,2021,Tiktok,,Manual,,100–999,838 images,Yes,Tags,No text used,Thematic Coding,,Off-the-shelf model,Object detection,Manual verification,"we found depictions of e-cigarette products (e.g., devices) on TikTok. 
We also found various types of vapor clouds, associated with vape tricks.",Yes,"Platform bias, model bias, other",No,No example images shown,No,North America,No,,,,"the results may not represent all posts related to e-cigarettes on TikTok.
the images in each video might not represent the TikTok posts, and the resulting image clusters may not represent the most suitable grouping of images.
image clustering takes into account other factors.
we did not assess how users engaged with different themes.
the included posts were collected in November 2021.
we selected one screenshot per post to include in the image clustering model.",Cluster Analysis,Include,Lu,
rayyan-340806877,"Insights into space tourism discourse on TikTok using a deep visual model and a text mining method: trends, topics, and public attitudes",2025,Humanities and Social Sciences Communications,26629992 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004345817&doi=10.1057%2Fs41599-025-04936-3&partnerID=40&md5=a7fda7c0c2ebc4deb7577c4d16d759a7,"[""Xidian University, School of Economics and Management, Xi'an, China"", ""Academy of Mathematics and System Sciences Chinese Academy of Sciences, Beijing, China"", ""Chinese Academy of Sciences, Center for Forecasting Science, Beijing, China"", ""ShanghaiTech University, School of Entrepreneurship and Management, Shanghai, China""]",Tourism,Sociology & Cultural Studies,Not mentioned,2017-2023,Tiktok,,Not mentioned,,"100k–999,999",188450 images,Yes,Comments,Full post text,Object Recognition,,Off-the-shelf model,Object detection,Not reported,"(1) From a global perspective, commercial enterprises gradually dominate the space tourism industry; 
(2) Focusing on the Chinese market, the space tourism products accessible to the general public are terrestrial forms, which have been successfully launched in many cities across China and mainly attract parent-child travelers and leisure travelers; 
(3) Chinese market perceptions revolve around “high risk, high cost” in the negative aspect, while positive perceptions involve “excitement, motivation, and support”.",Yes,Platform bias,No,No example images shown,No,Asia,No,,,,"only data from the TikTok platform was used, other social media platforms were not considered.
considering the research goal to investigate public attitudes, this paper solely utilized the LDA method for textual exploratory analysis, and more research methods are needed for verification and supplementation.",,Include,Lu,
rayyan-340807306,Investigating banks’ social media content and consumer reactions with machine learning,2025,"Journal of Open Innovation: Technology, Market, and Complexity",21998531 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000420733&doi=10.1016%2Fj.joitmc.2025.100512&partnerID=40&md5=648307b3abcf211414a9a4c0927bd318,"[""Budapest University of Technology and Economics, Department of Management and Business Economics, Budapest, Hungary"", ""Budapest University of Technology and Economics, Budapest, Hungary""]",Sociology & Cultural Studies,,North America,2012-2022,Twitter,USA,Not mentioned,,"10k–99,999","41,093 pics",Yes,Likes,Full post text,Other,,Off-the-shelf model,Other,Manual verification,"video posts are less common in the financial sector.
banks' tweets generally received very few consumer reactions.",Yes,Unrepresentative populations,Yes,No example images shown,No,Europe,No,,,,"there is room for further investigation and more specific feature engineering.
when extracting texts from images, automatic correction of sentence accuracy should be attempted, and topic analysis could be handled differently.
the outcome variable and the dataset itself could be defined and collected differently","Colour Recognition, Object Recognition, Narrative of images, Emotion Coding, Thematic Coding",Include,Lu,
rayyan-340807854,Investigating cultural ecosystem services of the Caatinga on Flickr,2025,Ethnobiology and Conservation,22384782 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208481023&doi=10.15451%2FEC2024-10-14.08-1-9&partnerID=40&md5=89f3eba54a765b511a3cbe09f0b782f6,"[""Universidade Federal de Pernambuco, Department of Botany, Recife, Brazil"", ""Universidade Federal Rural de Pernambuco, Programa de Pós-Graduação em Etnobiologia e Conservação da Natureza, Recife, Brazil""]",Environment & Landscape,Interdisciplinary,Latin America,2012-2022,Flickr,Brazil,Automated via API,,100–999,488 pics,No,,No text used,Thematic Coding,,Off-the-shelf model,Scene classification,Manual verification,The utilization of social media has proven to be a valuable tool for comprehending societal inclinations towards CES in Caatinga.,Yes,Unrepresentative populations,No,No example images shown,No,Latin America,No,,,,"This can be explained primarily by the fact that people living in the Caatinga do not have access to flickers.
the Caatinga has far fewer integral protection units (29) than the other two major biomes in the country: the Amazon (112) and Atlantic Forest",,Include,Lu,
rayyan-340814956,Investigating visual content shared over twitter during the 2019 eu parliamentary election campaign,2021,Media and Communication,21832439 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101075631&doi=10.17645%2Fmac.v9i1.3421&partnerID=40&md5=812457011b8f4799401c9577e6ef4eed,"[""Oxford Social Sciences Division, Oxford, United Kingdom"", ""Budapesti Corvinus Egyetem, Doctoral School of Sociology, Budapest, Hungary""]",Politics,Communication,Europe,2019,Twitter,Europe,Automated via API,based on a 95% confidence interval and a more or less 4% margin of error,"1k–9,999","1,097 images",No,,Full post text,Narrative of images,Thematic Coding,Off-the-shelf model,Scene classification,Inter-coder reliability,"First, anti-European visuals, populist anti-elite messages, and to a lesser extent extremist content around religion, were shared in substantial amounts ahead of the elections.
Second, political humor emerged through our analysis as a popular vessel for Eurosceptic and anti-elite messaging in social media discourse.
Third, at odds with growing concerns surrounding the credibility and quality of political content circulating on social media.",Yes,Platform bias,No,No example images shown,,Europe,No,,,,"the focus on a single platform, Twitter.
our findings are specific to both the temporal and socio-technical contexts in which they were collected.",,Include,Lu,
rayyan-340806843,Leveraging data analytics for detection and impact evaluation of fake news and deepfakes in social networks,2025,Humanities and Social Sciences Communications,26629992 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010198352&doi=10.1057%2Fs41599-025-05389-4&partnerID=40&md5=a892da4dcc50bcd8973898e898926636,"[""Alliance Manchester Business School, Manchester, United Kingdom"", ""Manchester Metropolitan University Business School, Manchester, United Kingdom"", ""Alliance Manchester Business School, Centre for AI and Decision Sciences, Manchester, United Kingdom""]",Communication,Sociology & Cultural Studies,Global,Not mentioned,Multiple,,Automated via API,,"100k–999,999",,Yes,Multiple,Full post text,Network Analysis,Image Plot,Custom model,Scene classification,Not reported,"• Visual content plays a central role in shaping meaning across platforms.
• Image–text relationships differ significantly by platform affordances.
• Large-scale visual analysis enables identification of macro-level discourse patterns.",Yes,Access/privacy constraints,Not applicable,Anonymization (hide IDs/avatars),No,Europe,No,,,Cross-country,"• Platform-specific affordances limit generalizability
• API access constraints shape available data
• Visual interpretation remains partially context-dependent",Strong methods-focused contribution; important reference for visual social media analysis frameworks rather than a single empirical case.,Include,Abi,Study time window not in YYYY or YYYY-YYYY (manual check)
rayyan-340806824,Leveraging deep learning for destination image visualization to measure chromatic prominence in heritage tourism,2025,npj Heritage Science,30593220 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014727841&doi=10.1038%2Fs40494-025-02004-2&partnerID=40&md5=116eea32b186de885aedb080ee547a5e,"[""Jinan University, Guangzhou, China"", ""Kennesaw State University, Department of Geography & Anthropology, Kennesaw, United States"", ""Uniwersytet im. Adama Mickiewicza w Poznaniu, Faculty of Human Geography and Planning, Poznan, Poland"", ""Jinan University, Department of Management, Guangzhou, China""]",Tourism,Information Management,Asia,2025,Other,,Automated via API,,"10k–99,999",,Yes,Multiple,No text used,Trends of images,Colour Recognition,Off-the-shelf model,Object detection,Against gold standard,"• Tourists’ chromatic perceptions differ systematically between dark and red heritage tourism sites.
• Dark tourism sites are dominated by dark/black tones and negative sentiment, while red tourism sites exhibit warmer colors and more positive affect.
• Deep learning enables scalable, multidimensional measurement of destination image using UGC.",Yes,Unrepresentative populations,Not applicable,Anonymization (hide IDs/avatars),Yes,Europe,Yes,Europe,Asia,Cross-country,"• User cultural background was not differentiated.
• Dark–red dominance was not quantitatively scaled beyond categorical labels.
• Findings may not generalize beyond the Chinese heritage tourism context.","Large-scale deep learning–based visual analysis integrating color, object, sentiment, and aesthetics; strong example of computational visual social media research in tourism.",Include,Abi,
rayyan-340815546,Machine learning and points of interest: typical tourist Italian cities,2020,Current Issues in Tourism,13683500 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068934945&doi=10.1080%2F13683500.2019.1637827&partnerID=40&md5=a81fc14c9889944148746d143885c8b0,"[""Università della Calabria, Department of Physics, Rende, Italy"", ""Università della Calabria, Department of Mechanical Engineering, Rende, Italy""]",Tourism,Information Management,Europe,2014-2016,Flickr,Italy,Automated via API,,"10k–99,999",,Yes,Multiple,No text used,Geospatial Analysis,Trends of images,Off-the-shelf model,Other,Not reported,"• Geo-tagged social media images can effectively reveal tourist mobility and attraction hotspots.
• Machine learning clustering identifies Points of Interest without prior labeling.
• Social media images provide valuable insights for tourism planning and destination management.",Yes,Platform bias,Not applicable,Not mentioned,No,Europe,No,,,,"• Reliance on a single social media platform
• Limited representativeness of tourist populations
• Results may not generalize to other platforms",Uses unsupervised machine learning (DBSCAN clustering). Focuses on spatial metadata rather than visual content semantics. Emphasizes methodological contribution to tourism analytics,Include,Abi,
rayyan-340815273,Mapping destination images and behavioral patterns from user-generated photos: a computer vision approach,2020,Asia Pacific Journal of Tourism Research,10941665 (ISSN); 17416507 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095737453&doi=10.1080%2F10941665.2020.1838586&partnerID=40&md5=85c35f73b489fcde0a8ff1e06baa95e7,"[""Nankai University, College of Tourism and Service Management, Tianjin, China"", ""Durham University Business School, Durham, United Kingdom""]",Tourism,Information Management,Asia,2004-2014,Flickr,China,Automated via API,,"10k–99,999",,Yes,Multiple,Captions only,Object Recognition,Geospatial Analysis,Custom model,Scene classification,Against gold standard,"• Tourists and residents exhibit distinct visual perceptions of Hong Kong
• Tourists focus more on architecture and food, residents on nature and culture
• Spatial trajectories reveal different mobility and activity patterns",Yes,Geographic noise/mis-geotagging,Not applicable,Not mentioned,Yes,Multiple,Yes,Asia,North America,,"• Findings may not generalize across platforms
• Temporal dynamics not deeply examined
• Computer vision accuracy constrained by training data",Large-scale automated visual analysis; strong exemplar of CV-based tourism research,Include,Abi,
rayyan-340814813,"Memes, brands and the politics of post-terror togetherness: following the Manchester bee after the 2017 Manchester Arena bombing",2021,Information Communication and Society,1369118X (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108456262&doi=10.1080%2F1369118X.2021.1942957&partnerID=40&md5=d261d910e53eb3d03926140304192247,"Umeå Universitet, Department of Sociology, Umea, Sweden",Communication,Sociology & Cultural Studies,Europe,2017-2018,Instagram,UK,Mixed,,"10k–99,999",,Yes,Multiple,Captions only,Image Plot,Thematic Coding,Off-the-shelf model,Other,Manual verification,"• The Manchester bee became a unifying meme expressing post-terror togetherness across online and offline spaces.
• Grassroots memeification preceded and enabled institutional brand adoption by city authorities.
• Official branding later obscured political tensions related to exclusion, gentrification, and far-right appropriation.",Yes,Platform bias,No,Anonymization (hide IDs/avatars),Yes,Europe,No,,,,"• Instagram users are demographically skewed, limiting representativeness.
• Analysis privileges highly visible and highly digital responses over less visible forms of mourning.
• Machine-learning clustering requires subjective interpretation by researchers.",Strong example of mixed-method visual social media research combining computational image analysis with critical qualitative interpretation.,Include,Abi,
rayyan-340811525,Presence of agriculture in photos of Norwegian landscapes uploaded to Flickr,2023,Norsk Geografisk Tidsskrift,00291951 (ISSN); 15025292 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173792130&doi=10.1080%2F00291951.2023.2257210&partnerID=40&md5=b5b0eef219c4bafb121d71801a82de08,"[""Norsk institutt for bioøkonomi, Department of Landscape Monitoring, As, Norway"", ""Norsk institutt for bioøkonomi, Department of Geomatics, As, Norway""]",Environment & Landscape,Tourism,Europe,2016-2020,Flickr,Norway,Automated via API,,"10k–99,999",,Yes,Multiple,Captions only,Thematic Coding,Geospatial Analysis,Custom model,,Against gold standard,"• Agricultural landscapes appear frequently in Flickr photos of Norway despite covering a small land area.
• Agricultural elements are visually present but rarely acknowledged via hashtags.
• Agricultural landscapes contribute significantly to cultural ecosystem services and landscape perception.",Yes,Unrepresentative populations,No,Not mentioned,Yes,Europe,No,,,,"• Flickr users may not represent the general population or tourists accurately
• Declining Flickr usage over time
• Inability to compare with Instagram due to data access restrictions","Relevant for landscape, tourism, and environmental perception studies",Include,Abi,
rayyan-340811684,Professional Athletes’ Visual Self-Presentation Strategies: An Investigation on Instagram,2023,Pamukkale Journal of Sport Sciences,13090356 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161697868&doi=10.54141%2Fpsbd.1260960&partnerID=40&md5=072ca111e1365fbbbcd8135c7fce6f4f,"Ege Üniversitesi, Faculty of Sport Sciences, Izmir, Turkey",Communication,Business,Global,2017,Instagram,"USA, EU, Australia, Africa, Middle East",Manual,,"10k–99,999",,Yes,Multiple,Captions only,Thematic Coding,Comparing Images,,,Inter-coder reliability,"• Athletes predominantly post content related to business and personal life rather than fans.
• Male athletes post more frequently and receive higher engagement than female athletes.
• Content from non-sport settings and athletic action attracts the most engagement.",Yes,Unrepresentative populations,Yes,No example images shown,No,Europe,No,,,,"• Focused only on elite athletes with high visibility and follower counts
• Findings may not generalize to lower-ranked or less-visible athletes
• Dataset restricted to a single one-year period",Mixed-methods study combining qualitative coding and quantitative chi-square tests,Include,Abi,
rayyan-340807971,Projected Destination Image of Beijing on Instagram: A Sequential Research Design,2025,Journal of Travel Research,00472875 (ISSN); 15526763 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181219851&doi=10.1177%2F00472875231210817&partnerID=40&md5=b8baef7de064c1dbded3cde1f9895ba5,"[""Curtin University, Social Media Research Lab, Perth, Australia"", ""Zhejiang Gong Shang University, Modern Business Research Center, Hangzhou, China""]",Tourism,Business,Asia,2017-2021,Instagram,China,Automated via API,,"1k–9,999",,Yes,Multiple,Captions only,Image Type Identification,Comparing Images,Off-the-shelf model,Scene classification,Not reported,"• Beijing’s projected image clusters into food, urban landscape, traditional events/art, outdoor landscape/activities. ￼
• High engagement (likes) is associated with content configurations: building+sky, building+event, sky+event. ￼
• Food-related images tend to be less associated with high likes in their configurational results.",Yes,Other,No,Not mentioned,Yes,Asia,No,,,,"• Likes-only as engagement.
• DMO-only images.","Uses sequential design: Instaloader scraping, then, Google Cloud Vision label extraction, then, two-stage k-means clustering (silhouette), finally, fsQCA on label configurations predicting high likes.",Include,Abi,
rayyan-340806845,Quantifying tourist perception of cultural landscapes in traditional towns in China using multimodal machine learning,2025,npj Heritage Science,30593220 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010162153&doi=10.1038%2Fs40494-025-01907-4&partnerID=40&md5=20535da7733fbe4424daa403de4eac54,"[""Huaiyin Teachers University, College of Fine Arts, Huainan, China"", ""Huaiyin Teachers University, School of Computer Science and Technology, Huainan, China"", ""Shanwei Institute of Technology, School of Engineering, Shanwei, China"", ""Shanwei Innovation Industrial Design & Research Institute, Shanwei, China""]",Tourism,Environment & Landscape,Asia,2015-2025,Other,China,Automated via API,,≥1M,,Yes,Multiple,Full post text,Object Recognition,Emotion Coding,Off-the-shelf model,Scene classification,Manual verification,"• Multimodal fusion of images and text improves representation of tourist perception
• Experience-related features most strongly influence ratings and sentiment
• Different town types emphasize different visual and experiential features",Yes,Unrepresentative populations,Not applicable,Collect images without metadata only,Yes,Asia,No,,,,"• Reliance on a single platform.
• Limited causal inference; regional concentration in China.
• Potential user bias in social media data.",Strong example of interpretable multimodal ML (CLIP + XGBoost + SHAP) applied to large-scale visual social media data,Include,Abi,
rayyan-340808644,Rally ’Round the Mask: Congressional Social Media Images and Masking during COVID-19,2024,Journal of Politics,00223816 (ISSN); 14682508 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204372590&doi=10.1086%2F730726&partnerID=40&md5=dc458aff59e84d42deb20f1d7dc29b1f,"[""Trinity College Dublin, Dublin, Ireland"", ""University of Exeter, Centre for Climate Communication and Data Science, Exeter, United Kingdom"", ""University of Houston, Hobby School, Houston, United States""]",Politics,Communication,North America,2020-2021,Multiple,USA,Automated via API,,"100k–999,999",,Yes,Multiple,No text used,Object Recognition,Trends of images,Custom model,Object detection,Against gold standard,"• Members of Congress increased mask-related imagery during key COVID-19 moments
• Partisan differences existed but were moderated by crisis events
• Trump’s behavior strongly influenced Republican visual messaging",Yes,Platform bias,Not applicable,Other,Yes,Multiple,Yes,North America,Latin America,Cross-platform,"• Focuses only on US congressional elites.
• Image interpretation limited to mask detection.
• Does not measure audience reception.",Large-scale automated visual analysis using CNNs; strong example of political image-as-data research,Include,Abi,
rayyan-340808446,"Short, Long, and Segmented Learning Videos: From YouTube Practice to Enhanced Video Players",2024,"Technology, Knowledge and Learning",22111670 (ISSN); 22111662 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197550849&doi=10.1007%2Fs10758-024-09745-2&partnerID=40&md5=ea25110c16c8f7b5f929207ebd240426,"FernUniversität in Hagen, Hagen, Germany",Education,Information Management,Europe,2005-2022,Other,Germany,Automated via API,,≥1M,,Yes,Multiple,Captions only,Trends of images,Comparing Images,Custom model,Other,Against gold standard,"• Short and segmented videos dominate educational YouTube practice
• Segmented videos significantly improve learning outcomes
• Video player design matters more than video length alone",Yes,Unrepresentative populations,Not applicable,Not mentioned,Yes,Europe,No,,,,"• Small user-study sample.
• Platform-specific findings.
• Inability to capture attention quality",Large-scale YouTube metadata study combined with experimental validation; focuses on video structure rather than visual content semantics,Include,Abi,
rayyan-340808940,Social Media as a Lens for Citizen Science: Investigating Visitor Contributions in a Forest Recreational Area,2024,Sustainability (Switzerland),20711050 (ISSN),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198440808&doi=10.3390%2Fsu16135804&partnerID=40&md5=837a46af47ecb1c05c6cc5820b8dcee3,"[""Forestry and Forest Products Research Institute, Department of Forest Management, Tsukuba, Japan"", ""University of Tsukuba, Tsukuba, Japan"", ""National Institute for Environmental Studies of Japan, Biodiversity Division, Tsukuba, Japan""]",Environment & Landscape,Information Management,Asia,2009-2023,Other,Japan,Automated via API,,"1k–9,999",,Yes,Multiple,No text used,Comparing Images,Image Type Identification,,,Manual verification,"• Social media platforms like Google Maps provide dense, spatially explicit biodiversity and recreation data even for small areas.
• Users fall into distinct behavioral clusters, which influence what they photograph.
• Repeat visitors tend to act as seasonal ecological observers, documenting plant phenology such as spring blossoms.",Yes,Missing/fabricated demographics,Not applicable,Anonymization (hide IDs/avatars),Yes,Asia,No,,,,"• Social media data may not reflect full visitor behavior.
• Posts may be deleted in future, no guarantee of stability.
• Focus on one site and one platform limits generalizability.","This paper is heavy on taxonomy development, behavior clustering, and implications for recruiting citizen scientists. No automated computer vision or NLP.",Include,Abi,
